Thu Jun  5 23:31:38 -03 2025
Running test 1 for UF: brazil with algorithm: ACO
AntColonyOptimization::new() called with 5570 cities, using 25 antsExecute AntColonyOptimization
Iteration 0: Best Cost = 15775.5667
Iteration 1: Best Cost = 4280.0104
Iteration 2: Best Cost = 4059.3101
Iteration 3: Best Cost = 3766.7233
Iteration 4: Best Cost = 3403.0457
Iteration 5: Best Cost = 3084.9001
Iteration 6: Best Cost = 2707.7759
Iteration 7: Best Cost = 2548.0993
Iteration 8: Best Cost = 2277.1344
Iteration 9: Best Cost = 2158.5207
Iteration 10: Best Cost = 2030.3459
Iteration 11: Best Cost = 1988.9609
Iteration 12: Best Cost = 1948.4328
Iteration 13: Best Cost = 1913.5944
Iteration 14: Best Cost = 1818.9912
Iteration 15: Best Cost = 1811.7516
Iteration 16: Best Cost = 1811.7516
Iteration 17: Best Cost = 1811.7516
Iteration 18: Best Cost = 1788.2804
Iteration 19: Best Cost = 1788.2804
Iteration 20: Best Cost = 1788.2804
Iteration 21: Best Cost = 1782.0080
Iteration 22: Best Cost = 1714.8238
Iteration 23: Best Cost = 1714.8238
Iteration 24: Best Cost = 1714.8238
Iteration 25: Best Cost = 1714.8238
Iteration 26: Best Cost = 1714.8238
Iteration 27: Best Cost = 1714.8238
Iteration 28: Best Cost = 1714.8238
Iteration 29: Best Cost = 1714.8238
Iteration 30: Best Cost = 1696.7660
Iteration 31: Best Cost = 1696.7660
Iteration 32: Best Cost = 1696.7660
Iteration 33: Best Cost = 1687.1708
Iteration 34: Best Cost = 1680.0921
Iteration 35: Best Cost = 1680.0921
Iteration 36: Best Cost = 1680.0921
Iteration 37: Best Cost = 1680.0921
Iteration 38: Best Cost = 1680.0921
Iteration 39: Best Cost = 1665.3901
Iteration 40: Best Cost = 1665.3901
Iteration 41: Best Cost = 1665.3901
Iteration 42: Best Cost = 1665.3901
Iteration 43: Best Cost = 1665.3901
Iteration 44: Best Cost = 1665.3901
Iteration 45: Best Cost = 1659.9553
Iteration 46: Best Cost = 1642.2864
Iteration 47: Best Cost = 1642.2864
Iteration 48: Best Cost = 1642.2864
Iteration 49: Best Cost = 1642.2864
Iteration 50: Best Cost = 1642.2864
Iteration 51: Best Cost = 1642.2864
Iteration 52: Best Cost = 1642.2864
Iteration 53: Best Cost = 1642.2864
Iteration 54: Best Cost = 1628.9194
Iteration 55: Best Cost = 1628.9194
Iteration 56: Best Cost = 1628.9194
Iteration 57: Best Cost = 1628.9194
Iteration 58: Best Cost = 1615.9222
Iteration 59: Best Cost = 1615.9222
Iteration 60: Best Cost = 1615.9222
Iteration 61: Best Cost = 1615.9222
